Modelled value (Pi)
0.746567874
0.64308453
0.65794358
0.595809444
0.704581686
0.491033029
0.624289246
0.691805298
0.638370756
0.530972682
0.681716029
0.712519846
0.7474212
0.486009608
0.480177294
0.636290513
0.50979025
0.703869493
0.579652999
0.694030624
